id,product_id,type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,machine_failure,twf,hdf,pwf,osf,rnf
48,M24285,M,298.1,308.6,1515,33.0,27,0,0,0,0.0,0.0,0.0
49,M18397,M,301.9,311.0,1671,30.6,20,0,0,0,0.0,0.0,0.0
50,M16902,M,299.1,308.9,1397,52.4,124,0,0,0,0.0,0.0,0.0
51,L52799,L,302.6,312.0,1451,43.0,183,0,0,0,0.0,0.0,0.0
52,L49504,L,299.3,308.8,1486,29.9,201,0,0,0,0.0,0.0,0.0
53,L54552,L,299.6,310.2,1469,42.7,23,0,0,0,0.0,0.0,0.0
54,M14955,M,299.0,309.0,1636,33.4,90,0,0,0,0.0,0.0,0.0
55,L54996,L,299.8,311.2,1533,32.1,144,0,0,0,0.0,0.0,0.0
56,L55110,L,300.6,311.6,1497,43.9,206,0,0,0,0.0,0.0,0.0
57,M23304,M,298.9,310.2,1487,42.9,9,0,0,0,0.0,0.0,0.0
58,L56642,L,298.5,309.3,1446,43.4,131,0,0,0,0.0,0.0,0.0
59,M20494,M,302.6,312.1,1368,56.5,168,0,0,0,0.0,0.0,0.0
60,L47768,L,297.6,309.4,1738,25.9,53,0,0,0,0.0,0.0,0.0
61,L51239,L,301.9,310.8,1366,52.6,99,0,0,0,0.0,0.0,0.0
62,M23600,M,297.3,308.6,1554,40.1,70,0,0,0,0.0,0.0,0.0
63,L54293,L,300.9,310.4,1561,32.7,25,0,0,0,0.0,0.0,0.0
64,L54263,L,300.7,310.4,1447,41.7,211,0,0,0,0.0,0.0,0.0
65,L55827,L,297.4,308.5,1530,38.5,93,0,0,0,0.0,0.0,0.0
66,L56403,L,297.9,309.0,1481,38.8,37,0,0,0,0.0,0.0,0.0
67,L50494,L,301.4,310.5,1697,31.4,173,0,0,0,0.0,0.0,0.0
68,L53033,L,301.3,311.0,1555,33.1,64,0,0,0,0.0,0.0,0.0
69,L56909,L,298.8,309.8,1479,46.6,145,0,0,0,0.0,0.0,0.0
70,L55502,L,298.7,309.7,1364,44.9,106,0,0,0,0.0,0.0,0.0
71,L55326,L,299.6,310.9,1602,31.8,80,0,0,0,0.0,0.0,0.0
72,L53551,L,300.0,309.6,1366,46.6,77,0,0,0,0.0,0.0,0.0
73,L56239,L,297.2,308.3,1805,44.6,13,0,0,0,0.0,0.0,0.0
74,L50936,L,302.3,311.1,1546,44.6,156,0,0,0,0.0,0.0,0.0
75,L55162,L,301.0,312.3,1490,42.6,127,0,0,0,0.0,0.0,0.0
76,L54825,L,300.4,311.4,1436,43.2,129,0,0,0,0.0,0.0,0.0
77,L55814,L,297.5,308.4,1512,36.9,141,0,0,0,0.0,0.0,0.0
78,L55970,L,297.4,308.5,1382,43.9,47,0,0,0,0.0,0.0,0.0
79,L52213,L,303.9,313.1,1564,38.9,119,0,0,0,0.0,0.0,0.0
80,L53919,L,301.7,311.2,1556,45.5,154,0,0,0,0.0,0.0,0.0
81,L52158,L,303.7,312.7,1470,46.8,196,0,0,0,0.0,0.0,0.0
82,L53938,L,301.2,310.9,1387,57.2,204,0,0,0,0.0,0.0,0.0
83,L56258,L,297.3,308.1,1566,35.7,100,0,0,0,0.0,0.0,0.0
84,L55304,L,300.2,311.4,1505,46.5,32,0,0,0,0.0,0.0,0.0
85,L49216,L,299.0,308.7,1466,42.6,96,0,0,0,0.0,0.0,0.0
86,M22392,M,300.0,311.3,1352,52.1,71,0,0,0,0.0,0.0,0.0
87,M15546,M,297.6,309.0,1504,40.4,35,0,0,0,0.0,0.0,0.0
88,H34251,H,303.3,311.8,1448,43.9,146,0,0,0,0.0,0.0,0.0
89,M24081,M,297.8,309.0,1675,29.6,98,0,0,0,0.0,0.0,0.0
90,L54620,L,300.0,311.4,1455,48.4,30,0,0,0,0.0,0.0,0.0
91,L56060,L,298.0,309.1,1505,39.6,0,0,0,0,0.0,0.0,0.0
92,L50793,L,301.7,310.9,1557,39.4,0,0,0,0,0.0,0.0,0.0
93,L52083,L,303.6,312.4,1462,48.3,0,0,0,0,0.0,0.0,0.0
94,L54912,L,300.3,311.8,1816,24.4,130,0,0,0,0.0,0.0,0.0
95,M18457,M,301.7,310.5,1457,51.7,110,0,0,0,0.0,0.0,0.0
96,H38789,H,297.7,308.4,1517,49.5,120,0,0,0,0.0,0.0,0.0
97,L55258,L,300.3,311.7,1571,31.2,192,0,0,0,0.0,0.0,0.0
98,L53258,L,300.7,310.8,1479,43.0,64,0,0,0,0.0,0.0,0.0
99,M15285,M,297.6,308.4,1484,46.7,98,0,0,0,0.0,0.0,0.0
100,L51200,L,302.1,310.5,1408,42.1,59,0,0,0,0.0,0.0,0.0
101,L49553,L,298.9,308.4,1555,39.5,147,0,0,0,0.0,0.0,0.0
102,L49237,L,299.5,309.1,1520,49.2,147,0,0,0,0.0,0.0,0.0
103,M23252,M,298.5,309.7,2099,19.3,101,0,0,0,0.0,0.0,0.0
104,L48795,L,297.8,307.9,1479,48.6,46,0,0,0,0.0,0.0,0.0
105,L56761,L,299.4,310.5,1435,48.0,10,0,0,0,0.0,0.0,0.0
106,L48952,L,298.4,308.0,1606,33.8,25,0,0,0,0.0,0.0,0.0
107,L50748,L,301.8,310.6,1610,32.3,91,0,0,0,0.0,0.0,0.0
108,L54258,L,300.7,310.5,1591,32.7,197,0,0,0,0.0,0.0,0.0
109,M24386,M,299.2,310.3,1375,52.7,76,0,0,0,0.0,0.0,0.0
110,L51125,L,302.2,311.3,1378,49.7,0,0,0,0,0.0,0.0,0.0
111,L56251,L,297.0,308.1,1629,33.0,138,0,0,0,0.0,0.0,0.0
112,L48557,L,298.8,310.0,1500,39.8,176,0,0,0,0.0,0.0,0.0
113,L47788,L,298.0,309.9,1578,34.6,156,0,0,0,0.0,0.0,0.0
114,L56897,L,299.0,309.9,1712,28.2,98,0,0,0,0.0,0.0,0.0
115,L49996,L,300.3,309.4,1616,47.3,104,0,0,0,0.0,0.0,0.0
116,H37956,H,298.6,309.6,1363,52.8,52,0,0,0,0.0,0.0,0.0
117,L48891,L,298.2,307.9,1430,44.4,70,0,0,0,0.0,0.0,0.0
118,L51326,L,301.8,310.3,1455,44.7,88,0,0,0,0.0,0.0,0.0
119,L56253,L,297.2,308.1,1372,55.8,150,0,0,0,0.0,0.0,0.0
120,M14955,M,298.9,309.0,1610,34.2,44,0,0,0,0.0,0.0,0.0
121,L53272,L,300.9,310.7,1522,28.5,18,0,0,0,0.0,0.0,0.0
122,L50265,L,300.1,309.4,1555,32.9,150,0,0,0,0.0,0.0,0.0
123,L51719,L,302.6,310.5,1539,33.6,154,0,0,0,0.0,0.0,0.0
124,L56250,L,297.1,308.2,1427,45.2,16,0,0,0,0.0,0.0,0.0
125,L50477,L,301.3,310.3,1548,38.6,59,0,0,0,0.0,0.0,0.0
126,M21705,M,301.3,311.5,1521,36.6,0,0,0,0,0.0,0.0,0.0
127,L55175,L,301.0,312.2,1772,25.1,176,0,0,0,0.0,0.0,0.0
128,L53392,L,300.8,310.8,1792,27.8,93,0,0,0,0.0,0.0,0.0
129,M17640,M,300.2,309.6,1347,50.8,36,0,0,0,0.0,0.0,0.0
130,L52498,L,303.9,312.8,1345,56.5,21,1,0,0,0.0,0.0,0.0
131,L47348,L,298.3,308.4,1526,40.3,20,0,0,0,0.0,0.0,0.0
132,L47803,L,298.3,310.1,1333,55.9,83,0,0,0,0.0,0.0,0.0
133,M18483,M,302.1,311.4,1466,39.8,26,0,0,0,0.0,0.0,0.0
134,L54981,L,300.0,311.4,1383,49.6,24,0,0,0,0.0,0.0,0.0
135,L54132,L,300.8,311.3,1498,43.4,56,0,0,0,0.0,0.0,0.0
136,L48810,L,298.2,307.9,1385,44.7,34,0,0,0,0.0,0.0,0.0
137,L50505,L,301.5,310.5,1683,27.8,127,0,0,0,0.0,0.0,0.0
138,L52216,L,304.0,313.2,1394,53.8,127,0,0,0,0.0,0.0,0.0
139,L53966,L,301.2,310.8,1557,34.9,119,0,0,0,0.0,0.0,0.0
140,L55966,L,297.5,308.5,1666,32.5,38,0,0,0,0.0,0.0,0.0
141,L51819,L,303.1,311.3,1483,39.9,147,0,0,0,0.0,0.0,0.0
142,L55224,L,300.7,311.8,1454,40.3,34,0,0,0,0.0,0.0,0.0
143,L53047,L,301.5,311.1,1490,45.3,24,0,0,0,0.0,0.0,0.0
144,L56162,L,297.0,307.7,1488,48.1,128,0,0,0,0.0,0.0,0.0
145,L51621,L,302.5,310.2,1677,31.4,148,0,0,0,0.0,0.0,0.0
146,M18261,M,301.3,310.8,1367,47.5,53,0,0,0,0.0,0.0,0.0
147,M15398,M,297.4,308.4,1858,25.8,156,0,0,0,0.0,0.0,0.0
148,L52724,L,302.4,311.8,1683,31.6,140,0,0,0,0.0,0.0,0.0
149,L49997,L,300.2,309.5,1417,42.0,129,0,0,0,0.0,0.0,0.0
150,L48275,L,296.9,307.5,1521,39.0,18,0,0,0,0.0,0.0,0.0
151,L47351,L,298.0,308.1,1462,41.8,27,0,0,0,0.0,0.0,0.0
152,L54676,L,300.2,311.8,1464,53.2,76,0,0,0,0.0,0.0,0.0
153,L53476,L,301.1,310.5,1383,53.6,2,0,0,0,0.0,0.0,0.0
154,L47501,L,297.5,308.6,1518,33.0,190,0,0,0,0.0,0.0,0.0
155,L56176,L,297.8,307.7,1448,44.2,164,0,0,0,0.0,0.0,0.0
156,H33665,H,302.5,311.0,1622,30.7,156,0,0,0,0.0,0.0,0.0
157,L48693,L,298.0,308.7,1528,41.2,25,0,0,0,0.0,0.0,0.0
158,L48805,L,297.9,307.8,1365,46.9,76,0,0,0,0.0,0.0,0.0
159,H34252,H,303.6,312.7,1459,46.5,44,0,0,0,0.0,0.0,0.0
160,L54237,L,300.8,310.6,1686,29.7,149,0,0,0,0.0,0.0,0.0
161,M22111,M,300.3,310.3,1448,40.1,209,0,0,0,0.0,0.0,0.0
162,M20955,M,300.8,310.7,1452,50.7,219,0,0,0,0.0,0.0,0.0
163,M18897,M,302.1,311.0,1671,30.0,15,0,0,0,0.0,0.0,0.0
164,L51721,L,302.5,310.4,1307,54.8,174,1,0,1,0.0,0.0,0.0
165,H35378,H,300.9,310.8,1565,33.9,132,0,0,0,0.0,0.0,0.0
166,L48093,L,295.5,306.0,1621,29.5,104,0,0,0,0.0,0.0,0.0
167,L52942,L,301.8,311.3,1596,35.8,68,0,0,0,0.0,0.0,0.0
168,M20199,M,303.7,313.0,1794,25.6,79,0,0,0,0.0,0.0,0.0
169,M16454,M,298.0,308.2,1602,37.2,215,0,0,0,0.0,0.0,0.0
170,L50748,L,301.8,311.0,1452,42.4,77,0,0,0,0.0,0.0,0.0
171,L56449,L,298.0,308.4,1480,42.4,17,0,0,0,0.0,0.0,0.0
172,H33243,H,302.0,310.9,1444,43.4,182,0,0,0,0.0,0.0,0.0
173,L48259,L,297.0,307.7,1731,28.5,100,0,0,0,0.0,0.0,0.0
174,L54777,L,300.5,311.0,2074,18.9,124,0,0,0,0.0,0.0,0.0
175,L50573,L,301.5,310.6,1578,34.8,81,0,0,0,0.0,0.0,0.0
176,L53007,L,301.3,311.1,1624,38.5,0,0,0,0,0.0,0.0,0.0
177,M18953,M,302.0,310.5,1573,32.1,76,0,0,0,0.0,0.0,0.0
178,L52339,L,304.2,313.4,1607,33.0,148,0,0,0,0.0,0.0,0.0
179,L55508,L,298.6,309.5,1389,50.3,127,0,0,0,0.0,0.0,0.0
180,L54370,L,300.3,310.3,1629,34.4,50,0,0,0,0.0,0.0,0.0
181,M16035,M,297.2,308.2,1332,37.8,3,0,0,0,0.0,0.0,0.0
182,M20054,M,303.9,313.1,1496,38.0,137,0,0,0,0.0,0.0,0.0
183,H33318,H,302.3,311.5,1486,46.5,131,0,0,0,0.0,0.0,0.0
184,L47853,L,297.9,308.8,1347,49.9,209,0,0,0,0.0,0.0,0.0
185,L56316,L,297.7,308.5,1429,54.4,102,0,0,0,0.0,0.0,0.0
186,L53929,L,301.3,310.9,1555,36.1,5,0,0,0,0.0,0.0,0.0
187,L48490,L,298.9,310.2,1498,43.2,2,0,0,0,0.0,0.0,0.0
188,L56454,L,298.2,308.7,1445,38.1,45,0,0,0,0.0,0.0,0.0
189,M24753,M,298.8,309.5,1613,33.0,166,0,0,0,0.0,0.0,0.0
190,L56609,L,298.1,308.7,1436,47.6,64,0,0,0,0.0,0.0,0.0
191,L54445,L,300.4,310.6,1384,48.7,2,0,0,0,0.0,0.0,0.0
192,L48704,L,298.2,309.0,1601,39.4,43,0,0,0,0.0,0.0,0.0
193,M15568,M,297.5,308.9,1416,44.2,101,0,0,0,0.0,0.0,0.0
194,L53468,L,301.0,310.5,1390,46.4,75,0,0,0,0.0,0.0,0.0
195,L52866,L,302.3,311.7,1463,41.9,89,0,0,0,0.0,0.0,0.0
196,L55433,L,299.2,310.6,1387,45.9,136,0,0,0,0.0,0.0,0.0
197,L52457,L,303.4,312.7,1578,39.3,158,0,0,0,0.0,0.0,0.0
198,L49598,L,299.1,308.2,1827,24.8,9,0,0,0,0.0,0.0,0.0
199,L51116,L,302.5,311.5,1457,48.0,129,0,0,0,0.0,0.0,0.0
200,M23294,M,298.7,309.9,1654,44.8,25,0,0,0,0.0,0.0,0.0
201,L51996,L,303.4,312.0,1388,42.1,0,0,0,0,0.0,0.0,0.0
202,L49952,L,299.7,309.2,1502,37.6,50,0,0,0,0.0,0.0,0.0
203,H30274,H,296.1,306.8,1484,43.2,33,0,0,0,0.0,0.0,0.0
204,M20581,M,302.2,311.7,1562,34.1,188,0,0,0,0.0,0.0,0.0
205,L49113,L,298.1,308.0,1638,38.3,38,0,0,0,0.0,0.0,0.0
206,L51449,L,302.6,311.0,1543,36.4,152,0,0,0,0.0,0.0,0.0
207,M18355,M,302.0,310.9,1566,34.4,167,0,0,0,0.0,0.0,0.0
208,L52717,L,302.4,311.8,1420,45.6,122,0,0,0,0.0,0.0,0.0
209,L54114,L,300.7,311.4,1536,40.9,22,0,0,0,0.0,0.0,0.0
210,M17794,M,300.8,309.5,1546,42.3,186,0,0,0,0.0,0.0,0.0
211,L54369,L,300.4,310.3,1568,35.6,127,0,0,0,0.0,0.0,0.0
212,L53112,L,300.5,310.5,1612,36.6,54,0,0,0,0.0,0.0,0.0
213,L49796,L,299.8,309.1,1635,31.1,62,0,0,0,0.0,0.0,0.0
214,M24281,M,298.1,308.5,1592,35.6,15,0,0,0,0.0,0.0,0.0
215,L57026,L,298.4,309.3,1533,37.5,116,0,0,0,0.0,0.0,0.0
216,L50411,L,300.7,309.3,1425,45.3,192,0,0,0,0.0,0.0,0.0
217,L52781,L,302.9,312.2,1405,44.8,189,0,0,0,0.0,0.0,0.0
218,L55508,L,298.6,309.5,1523,39.8,127,0,0,0,0.0,0.0,0.0
219,L56814,L,299.0,310.2,1542,36.7,154,0,0,0,0.0,0.0,0.0
220,L57070,L,298.8,309.5,1543,32.8,157,0,0,0,0.0,0.0,0.0
221,L54275,L,300.6,310.2,1452,47.7,18,0,0,0,0.0,0.0,0.0
222,L53856,L,301.5,310.6,1392,47.7,222,0,0,0,0.0,0.0,0.0
223,M16090,M,297.1,308.4,1880,44.7,196,0,0,0,0.0,0.0,0.0
224,L51097,L,302.6,311.2,1545,36.0,137,0,0,0,0.0,0.0,0.0
225,H35597,H,301.0,310.9,1617,30.7,21,0,0,0,0.0,0.0,0.0
226,L53748,L,301.6,310.6,1553,39.2,159,0,0,0,0.0,0.0,0.0
227,M23255,M,298.5,309.5,2033,22.8,150,0,0,0,0.0,0.0,0.0
228,M17895,M,300.7,309.7,1878,27.9,20,1,0,0,0.0,0.0,0.0
229,L54040,L,301.1,311.2,1394,51.9,90,0,0,0,0.0,0.0,0.0
230,L52232,L,304.1,313.0,1479,42.9,178,0,0,0,0.0,0.0,0.0
231,M21066,M,300.8,310.6,1554,34.4,79,0,0,0,0.0,0.0,0.0
232,M16241,M,298.9,310.2,1683,28.7,116,0,0,0,0.0,0.0,0.0
233,M20127,M,303.5,312.7,1452,44.7,98,0,0,0,0.0,0.0,0.0
234,L47966,L,296.9,307.5,1339,50.2,55,0,0,0,0.0,0.0,0.0
235,M19154,M,301.7,309.9,1443,46.4,210,0,0,0,0.0,0.0,0.0
236,L55926,L,297.3,308.6,1258,61.8,144,1,0,0,0.0,1.0,0.0
237,M21400,M,301.4,310.7,1368,63.7,92,0,0,0,0.0,0.0,0.0
238,M17891,M,300.7,309.7,1793,25.5,6,0,0,0,0.0,0.0,0.0
239,L55788,L,297.4,308.4,1967,20.9,92,0,0,0,0.0,0.0,0.0
240,H33139,H,302.3,311.2,1543,37.5,73,0,0,0,0.0,0.0,0.0
241,L48709,L,298.1,309.0,1735,26.6,56,0,0,0,0.0,0.0,0.0
242,L51094,L,302.5,311.5,1662,28.3,131,0,0,0,0.0,0.0,0.0
243,L54490,L,300.0,310.3,1606,41.6,157,0,0,0,0.0,0.0,0.0
244,L53050,L,301.4,311.2,2027,18.9,148,0,0,0,0.0,0.0,0.0
245,L55273,L,300.2,311.6,1511,35.4,160,0,0,0,0.0,0.0,0.0
246,L56849,L,299.1,310.3,1471,33.2,242,0,0,0,0.0,0.0,0.0
247,L51801,L,303.0,311.3,1341,51.0,174,1,0,1,0.0,0.0,0.0
248,L56821,L,299.3,310.1,1536,37.2,48,0,0,0,0.0,0.0,0.0
249,L57029,L,298.3,309.1,1483,44.4,44,0,0,0,0.0,0.0,0.0
250,L53665,L,300.7,309.9,1385,46.6,162,0,0,0,0.0,0.0,0.0
251,L55876,L,297.2,308.6,1390,49.8,12,0,0,0,0.0,0.0,0.0
252,M24486,M,299.0,310.0,1533,42.5,15,0,0,0,0.0,0.0,0.0
253,L49545,L,299.1,308.3,1414,42.5,76,0,0,0,0.0,0.0,0.0
254,L53171,L,300.7,310.7,1525,43.7,79,0,0,0,0.0,0.0,0.0
255,L53141,L,300.8,310.7,1539,32.3,123,0,0,0,0.0,0.0,0.0
256,M17084,M,299.7,309.0,1422,43.9,43,0,0,0,0.0,0.0,0.0
257,M23005,M,299.7,310.7,1457,41.3,59,0,0,0,0.0,0.0,0.0
258,L51945,L,303.9,312.7,1546,37.0,64,0,0,0,0.0,0.0,0.0
259,L48083,L,295.6,306.1,1465,48.7,59,0,0,0,0.0,0.0,0.0
260,M18333,M,301.8,310.6,1378,48.3,62,1,0,1,0.0,0.0,0.0
261,M17357,M,299.2,308.7,1843,25.3,215,0,0,0,0.0,0.0,0.0
262,H38790,H,297.7,308.4,2080,18.4,0,0,0,0,0.0,0.0,0.0
263,L54892,L,300.5,311.4,1523,37.5,73,0,0,0,0.0,0.0,0.0
264,M18731,M,302.7,311.8,1619,30.0,12,0,0,0,0.0,0.0,0.0
265,M23854,M,296.8,308.0,1422,49.8,13,0,0,0,0.0,0.0,0.0
266,L52091,L,303.5,312.4,1418,43.4,175,0,0,0,0.0,0.0,0.0
267,M15390,M,297.6,309.5,1403,48.4,65,0,0,0,0.0,0.0,0.0
268,L53022,L,301.4,311.2,1453,50.6,37,0,0,0,0.0,0.0,0.0
269,L49931,L,299.7,309.1,1558,50.1,187,0,0,0,0.0,0.0,0.0
270,L48607,L,298.7,309.8,1567,35.3,6,0,0,0,0.0,0.0,0.0
271,L50088,L,300.7,309.5,1251,29.9,120,0,0,0,0.0,0.0,0.0
272,L48816,L,297.9,307.8,1403,48.6,59,0,0,0,0.0,0.0,0.0
273,L51358,L,302.5,310.9,1624,34.4,0,0,0,0,0.0,0.0,0.0
274,L53441,L,301.1,310.6,1417,37.6,54,0,0,0,0.0,0.0,0.0
275,M23576,M,297.1,308.6,1381,50.2,198,0,0,0,0.0,0.0,0.0
276,M15944,M,297.0,307.7,1498,46.1,2,0,0,0,0.0,0.0,0.0
277,H30650,H,298.4,308.9,1894,21.1,161,0,0,0,0.0,0.0,0.0
278,M17816,M,300.8,309.6,1434,44.5,44,0,0,0,0.0,0.0,0.0
279,H38316,H,297.4,308.7,1630,30.3,134,0,0,0,0.0,0.0,0.0
280,L50854,L,302.1,311.4,1540,43.7,157,0,0,0,0.0,0.0,0.0
281,H30594,H,297.3,308.5,1429,42.5,16,0,0,0,0.0,0.0,0.0
282,L54588,L,299.8,310.9,1292,46.7,175,0,0,0,0.0,0.0,0.0
283,M24533,M,299.0,310.0,1501,45.2,106,0,0,0,0.0,0.0,0.0
284,L48208,L,296.2,307.2,1472,39.9,51,0,0,0,0.0,0.0,0.0
285,M15174,M,297.9,308.5,1452,44.4,5,0,0,0,0.0,0.0,0.0
286,M22417,M,300.4,311.5,1471,43.7,24,0,0,0,0.0,0.0,0.0
287,L48925,L,298.3,308.0,1748,25.1,160,0,0,0,0.0,0.0,0.0
288,M19069,M,302.2,310.8,1555,38.6,3,0,0,0,0.0,0.0,0.0
289,M16188,M,299.0,310.3,1434,44.0,206,0,0,0,0.0,0.0,0.0
290,L54040,L,301.1,311.2,1910,41.7,28,0,0,0,0.0,0.0,0.0
291,L48448,L,298.0,309.5,1617,45.8,46,0,0,0,0.0,0.0,0.0
292,M22278,M,300.1,311.4,1447,52.7,119,0,0,0,0.0,0.0,0.0
293,L53271,L,300.9,310.7,1418,46.5,12,0,0,0,0.0,0.0,0.0
294,L48482,L,298.8,310.0,1505,45.7,9,0,0,0,0.0,0.0,0.0
295,L51976,L,303.5,312.5,1522,40.3,110,0,0,0,0.0,0.0,0.0
296,M19249,M,302.1,310.0,1514,39.7,96,0,0,0,0.0,0.0,0.0
297,M15435,M,297.9,309.9,1593,36.5,188,0,0,0,0.0,0.0,0.0
298,L51073,L,302.3,311.2,1549,35.8,66,0,0,0,0.0,0.0,0.0
299,L55887,L,297.2,308.6,1486,41.3,41,0,0,0,0.0,0.0,0.0
300,L49631,L,299.1,308.7,1431,42.4,93,0,0,0,0.0,0.0,0.0
301,L55232,L,300.5,311.9,1558,39.7,54,0,0,0,0.0,0.0,0.0
302,L55275,L,300.2,311.7,1415,46.2,167,0,0,0,0.0,0.0,0.0
303,M20813,M,300.7,310.9,1486,38.9,137,0,0,0,0.0,0.0,0.0
304,H30932,H,298.2,308.9,1371,43.3,51,0,0,0,0.0,0.0,0.0
305,L50097,L,300.6,309.5,1416,38.1,142,0,0,0,0.0,0.0,0.0
306,L49943,L,299.6,309.4,1447,43.5,2,0,0,0,0.0,0.0,0.0
307,M15131,M,298.1,308.2,1366,45.1,96,0,0,0,0.0,0.0,0.0
308,L56714,L,299.3,310.6,1438,46.9,97,0,0,0,0.0,0.0,0.0
309,M18281,M,301.5,310.5,1525,42.5,168,0,0,0,0.0,0.0,0.0
310,M17596,M,299.7,309.1,1477,41.2,149,0,0,0,0.0,0.0,0.0
311,L48501,L,298.9,310.2,1809,21.9,185,0,0,0,0.0,0.0,0.0
312,L47454,L,298.1,308.0,1376,46.4,63,0,0,0,0.0,0.0,0.0
313,L49571,L,299.2,308.4,1447,46.6,145,0,0,0,0.0,0.0,1.0
314,L49484,L,299.1,308.5,1619,32.8,144,0,0,0,0.0,0.0,0.0
315,M16381,M,298.1,308.9,1585,38.7,33,0,0,0,0.0,0.0,0.0
316,L49210,L,298.8,308.6,1519,36.6,79,0,0,0,0.0,0.0,0.0
317,L55041,L,300.5,312.0,1755,26.7,25,0,0,0,0.0,0.0,0.0
318,L53635,L,300.6,310.2,1657,28.7,81,0,0,0,0.0,0.0,0.0
319,L51363,L,302.4,310.8,1573,34.2,204,0,0,0,0.0,0.0,0.0
320,L54022,L,301.3,311.3,1509,41.5,24,0,0,0,0.0,0.0,0.0
321,L53337,L,301.1,311.1,1413,58.2,166,0,0,0,0.0,0.0,0.0
